
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 180, Time: 0.827637, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       3526

Sync-Point 181, Time: 0.829102, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      19091

Sync-Point 182, Time: 0.830566, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       3818

Sync-Point 183, Time: 0.832031, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 184, Time: 0.833496, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       4041

Sync-Point 185, Time: 0.834961, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      19803

Sync-Point 186, Time: 0.836426, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       4392

Sync-Point 187, Time: 0.837891, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      26116

Sync-Point 188, Time: 0.839355, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       4725

Sync-Point 189, Time: 0.84082, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      20515

Sync-Point 190, Time: 0.842285, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       5000

Sync-Point 191, Time: 0.84375, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 192, Time: 0.845215, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       5308

Sync-Point 193, Time: 0.84668, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      21226

Sync-Point 194, Time: 0.848145, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       5678

Sync-Point 195, Time: 0.849609, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      27430

Sync-Point 196, Time: 0.851074, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       5993

Sync-Point 197, Time: 0.852539, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      21948

Sync-Point 198, Time: 0.854004, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       6343

Sync-Point 199, Time: 0.855469, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 200, Time: 0.856934, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       6627

Sync-Point 201, Time: 0.858398, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      22708

Sync-Point 202, Time: 0.859863, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       7016

Sync-Point 203, Time: 0.861328, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      28787

Sync-Point 204, Time: 0.862793, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       7384

Sync-Point 205, Time: 0.864258, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      23393

Sync-Point 206, Time: 0.865723, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       7717

Sync-Point 207, Time: 0.867188, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 208, Time: 0.868652, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       8053

Sync-Point 209, Time: 0.870117, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      24159

Sync-Point 210, Time: 0.871582, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       8491

Sync-Point 211, Time: 0.873047, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      30115

Sync-Point 212, Time: 0.874512, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       8903

Sync-Point 213, Time: 0.875977, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      24865

Sync-Point 214, Time: 0.877441, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       9272

Sync-Point 215, Time: 0.878906, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 216, Time: 0.880371, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       9654

Sync-Point 217, Time: 0.881836, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      25651

Sync-Point 218, Time: 0.883301, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      10080

Sync-Point 219, Time: 0.884766, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      31533

Sync-Point 220, Time: 0.88623, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      10495

Sync-Point 221, Time: 0.887695, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      26367

Sync-Point 222, Time: 0.88916, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      10910

Sync-Point 223, Time: 0.890625, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 224, Time: 0.89209, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      11303

Sync-Point 225, Time: 0.893555, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      27114

Sync-Point 226, Time: 0.89502, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      11714

Sync-Point 227, Time: 0.896484, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      32963

Sync-Point 228, Time: 0.897949, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      12161

